,Week,Worldometer
0,2019-07-14,1
1,2019-07-21,1
2,2019-07-28,1
3,2019-08-04,1
4,2019-08-11,0
5,2019-08-18,1
6,2019-08-25,1
7,2019-09-01,1
8,2019-09-08,1
9,2019-09-15,1
10,2019-09-22,1
11,2019-09-29,1
12,2019-10-06,1
13,2019-10-13,1
14,2019-10-20,1
15,2019-10-27,1
16,2019-11-03,1
17,2019-11-10,1
18,2019-11-17,1
19,2019-11-24,1
20,2019-12-01,1
21,2019-12-08,1
22,2019-12-15,1
23,2019-12-22,1
24,2019-12-29,1
25,2020-01-05,1
26,2020-01-12,1
27,2020-01-19,1
28,2020-01-26,1
29,2020-02-02,1
30,2020-02-09,2
31,2020-02-16,2
32,2020-02-23,5
33,2020-03-01,9
34,2020-03-08,21
35,2020-03-15,52
36,2020-03-22,93
37,2020-03-29,100
38,2020-04-05,93
39,2020-04-12,72
40,2020-04-19,58
41,2020-04-26,50
42,2020-05-03,46
43,2020-05-10,44
44,2020-05-17,38
45,2020-05-24,38
46,2020-05-31,29
47,2020-06-07,31
48,2020-06-14,32
49,2020-06-21,40
50,2020-06-28,45
51,2020-07-05,49
